jue. 03/04/2025 17:42:14,51 - 
jue. 03/04/2025 17:53:57,44 - "Checking Python version..."
jue. 03/04/2025 17:53:57,45 - "Checking Python version..."
jue. 03/04/2025 17:53:57,47 - "Checking Python version..."
jue. 03/04/2025 17:53:57,49 - "Checking Python version..."
jue. 03/04/2025 17:53:57,51 - "Checking Python version..."
jue. 03/04/2025 17:53:57,52 - "Checking Python version..."
jue. 03/04/2025 17:53:57,54 - "Checking Python version..."
jue. 03/04/2025 17:53:57,56 - "Checking Python version..."
jue. 03/04/2025 17:53:57,57 - "Checking Python version..."
jue. 03/04/2025 17:53:57,59 - "Checking Python version..."
jue. 03/04/2025 17:53:57,61 - "Checking Python version..."
jue. 03/04/2025 17:53:57,62 - "Checking Python version..."
jue. 03/04/2025 17:53:57,64 - "Checking Python version..."
jue. 03/04/2025 17:53:57,65 - "Checking Python version..."
jue. 03/04/2025 17:53:57,67 - "Checking Python version..."
jue. 03/04/2025 17:53:57,68 - "Checking Python version..."
jue. 03/04/2025 17:53:57,70 - "Checking Python version..."
jue. 03/04/2025 17:53:57,71 - "Checking Python version..."
jue. 03/04/2025 17:53:57,73 - "Checking Python version..."
jue. 03/04/2025 17:53:57,75 - "Checking Python version..."
jue. 03/04/2025 17:53:57,76 - "Checking Python version..."
jue. 03/04/2025 17:53:57,78 - "Checking Python version..."
jue. 03/04/2025 17:53:57,79 - "Checking Python version..."
jue. 03/04/2025 17:53:57,81 - "Checking Python version..."
jue. 03/04/2025 17:53:57,83 - "Checking Python version..."
jue. 03/04/2025 17:53:57,84 - "Checking Python version..."
jue. 03/04/2025 17:53:57,86 - "Checking Python version..."
jue. 03/04/2025 17:53:57,87 - "Checking Python version..."
jue. 03/04/2025 17:53:57,88 - "Checking Python version..."
jue. 03/04/2025 17:54:03,49 - 
jue. 03/04/2025 17:54:03,49 - "Checking Python version..."
jue. 03/04/2025 17:54:03,51 - "Checking Python version..."
jue. 03/04/2025 17:54:03,52 - "Checking Python version..."
jue. 03/04/2025 17:54:03,53 - "Checking Python version..."
jue. 03/04/2025 17:54:03,55 - "Checking Python version..."
jue. 03/04/2025 17:54:03,56 - "Checking Python version..."
jue. 03/04/2025 17:54:03,58 - "Checking Python version..."
jue. 03/04/2025 17:54:03,59 - "Checking Python version..."
jue. 03/04/2025 17:54:03,61 - "Checking Python version..."
jue. 03/04/2025 17:54:03,62 - "Checking Python version..."
jue. 03/04/2025 17:54:03,64 - "Checking Python version..."
jue. 03/04/2025 17:54:03,65 - "Checking Python version..."
jue. 03/04/2025 17:54:03,67 - "Checking Python version..."
jue. 03/04/2025 17:54:03,69 - "Checking Python version..."
jue. 03/04/2025 17:54:03,70 - "Checking Python version..."
jue. 03/04/2025 17:54:03,72 - "Checking Python version..."
jue. 03/04/2025 17:54:03,73 - "Checking Python version..."
jue. 03/04/2025 17:54:03,75 - "Checking Python version..."
jue. 03/04/2025 17:54:03,76 - "Checking Python version..."
jue. 03/04/2025 17:54:03,77 - "Checking Python version..."
jue. 03/04/2025 17:54:03,78 - "Checking Python version..."
jue. 03/04/2025 17:54:03,80 - "Checking Python version..."
jue. 03/04/2025 17:54:03,82 - "Checking Python version..."
jue. 03/04/2025 17:54:03,83 - "Checking Python version..."
jue. 03/04/2025 17:54:03,85 - "Checking Python version..."
jue. 03/04/2025 17:54:03,86 - "Checking Python version..."
jue. 03/04/2025 17:54:03,88 - "Checking Python version..."
jue. 03/04/2025 17:54:03,89 - "Checking Python version..."
jue. 03/04/2025 17:54:03,91 - "Checking Python version..."
jue. 03/04/2025 17:54:03,93 - "Checking Python version..."
jue. 03/04/2025 17:54:03,94 - "Checking Python version..."
